"id" "setsize" "ss_lin" "ss_fac" "rsizeCorrect" "rsizeList" "rsizeNPL" "correct" "intrusion" "new"
"1" "1" 2 -3 "2" 1 2 0 23 0 0
"2" "10" 2 -3 "2" 1 2 0 23 0 0
"3" "11" 2 -3 "2" 1 2 0 23 0 0
"4" "12" 2 -3 "2" 1 2 0 23 0 0
"5" "13" 2 -3 "2" 1 2 0 22 1 0
"6" "14" 2 -3 "2" 1 2 0 23 0 0
"7" "15" 2 -3 "2" 1 2 0 22 1 0
"8" "16" 2 -3 "2" 1 2 0 23 0 0
"9" "17" 2 -3 "2" 1 2 0 23 0 0
"10" "18" 2 -3 "2" 1 2 0 23 0 0
"11" "19" 2 -3 "2" 1 2 0 22 1 0
"12" "2" 2 -3 "2" 1 2 0 23 0 0
"13" "20" 2 -3 "2" 1 2 0 22 1 0
"14" "21" 2 -3 "2" 1 2 0 23 0 0
"15" "3" 2 -3 "2" 1 2 0 23 0 0
"16" "5" 2 -3 "2" 1 2 0 23 0 0
"17" "6" 2 -3 "2" 1 2 0 23 0 0
"18" "7" 2 -3 "2" 1 2 0 23 0 0
"19" "8" 2 -3 "2" 1 2 0 23 0 0
"20" "9" 2 -3 "2" 1 2 0 23 0 0
"21" "1" 4 -1 "4" 1 2 0 22 1 0
"22" "10" 4 -1 "4" 1 2 0 23 0 0
"23" "11" 4 -1 "4" 1 2 0 23 0 0
"24" "12" 4 -1 "4" 1 2 0 21 2 0
"25" "13" 4 -1 "4" 1 2 0 23 0 0
"26" "14" 4 -1 "4" 1 2 0 22 1 0
"27" "15" 4 -1 "4" 1 2 0 23 0 0
"28" "16" 4 -1 "4" 1 2 0 23 0 0
"29" "17" 4 -1 "4" 1 2 0 23 0 0
"30" "18" 4 -1 "4" 1 2 0 23 0 0
"31" "19" 4 -1 "4" 1 2 0 22 1 0
"32" "2" 4 -1 "4" 1 2 0 23 0 0
"33" "20" 4 -1 "4" 1 2 0 22 1 0
"34" "21" 4 -1 "4" 1 2 0 23 0 0
"35" "3" 4 -1 "4" 1 2 0 23 0 0
"36" "5" 4 -1 "4" 1 2 0 23 0 0
"37" "6" 4 -1 "4" 1 2 0 23 0 0
"38" "7" 4 -1 "4" 1 2 0 23 0 0
"39" "8" 4 -1 "4" 1 2 0 21 2 0
"40" "9" 4 -1 "4" 1 2 0 22 1 0
"41" "1" 6 1 "6" 1 2 0 22 1 0
"42" "10" 6 1 "6" 1 2 0 22 1 0
"43" "11" 6 1 "6" 1 2 0 22 1 0
"44" "12" 6 1 "6" 1 2 0 19 4 0
"45" "13" 6 1 "6" 1 2 0 20 3 0
"46" "14" 6 1 "6" 1 2 0 19 4 0
"47" "15" 6 1 "6" 1 2 0 23 0 0
"48" "16" 6 1 "6" 1 2 0 22 1 0
"49" "17" 6 1 "6" 1 2 0 21 2 0
"50" "18" 6 1 "6" 1 2 0 22 1 0
"51" "19" 6 1 "6" 1 2 0 20 3 0
"52" "2" 6 1 "6" 1 2 0 23 0 0
"53" "20" 6 1 "6" 1 2 0 23 0 0
"54" "21" 6 1 "6" 1 2 0 21 2 0
"55" "3" 6 1 "6" 1 2 0 22 1 0
"56" "5" 6 1 "6" 1 2 0 23 0 0
"57" "6" 6 1 "6" 1 2 0 21 2 0
"58" "7" 6 1 "6" 1 2 0 20 3 0
"59" "8" 6 1 "6" 1 2 0 19 4 0
"60" "9" 6 1 "6" 1 2 0 20 3 0
"61" "1" 8 3 "8" 1 2 0 21 2 0
"62" "10" 8 3 "8" 1 2 0 17 6 0
"63" "11" 8 3 "8" 1 2 0 18 5 0
"64" "12" 8 3 "8" 1 2 0 20 3 0
"65" "13" 8 3 "8" 1 2 0 20 3 0
"66" "14" 8 3 "8" 1 2 0 17 6 0
"67" "15" 8 3 "8" 1 2 0 22 1 0
"68" "16" 8 3 "8" 1 2 0 18 5 0
"69" "17" 8 3 "8" 1 2 0 13 10 0
"70" "18" 8 3 "8" 1 2 0 20 3 0
"71" "19" 8 3 "8" 1 2 0 17 6 0
"72" "2" 8 3 "8" 1 2 0 20 3 0
"73" "20" 8 3 "8" 1 2 0 19 4 0
"74" "21" 8 3 "8" 1 2 0 20 3 0
"75" "3" 8 3 "8" 1 2 0 20 3 0
"76" "5" 8 3 "8" 1 2 0 19 4 0
"77" "6" 8 3 "8" 1 2 0 22 1 0
"78" "7" 8 3 "8" 1 2 0 21 2 0
"79" "8" 8 3 "8" 1 2 0 17 6 0
"80" "9" 8 3 "8" 1 2 0 14 9 0
"81" "1" 4 -1 "4" 1 4 0 22 1 0
"82" "10" 4 -1 "4" 1 4 0 23 0 0
"83" "11" 4 -1 "4" 1 4 0 23 0 0
"84" "12" 4 -1 "4" 1 4 0 21 2 0
"85" "13" 4 -1 "4" 1 4 0 23 0 0
"86" "14" 4 -1 "4" 1 4 0 22 1 0
"87" "15" 4 -1 "4" 1 4 0 23 0 0
"88" "16" 4 -1 "4" 1 4 0 22 1 0
"89" "17" 4 -1 "4" 1 4 0 23 0 0
"90" "18" 4 -1 "4" 1 4 0 23 0 0
"91" "19" 4 -1 "4" 1 4 0 23 0 0
"92" "2" 4 -1 "4" 1 4 0 23 0 0
"93" "20" 4 -1 "4" 1 4 0 23 0 0
"94" "21" 4 -1 "4" 1 4 0 23 0 0
"95" "3" 4 -1 "4" 1 4 0 23 0 0
"96" "5" 4 -1 "4" 1 4 0 23 0 0
"97" "6" 4 -1 "4" 1 4 0 21 2 0
"98" "7" 4 -1 "4" 1 4 0 22 1 0
"99" "8" 4 -1 "4" 1 4 0 21 2 0
"100" "9" 4 -1 "4" 1 4 0 21 2 0
"101" "1" 6 1 "6" 1 4 0 19 4 0
"102" "10" 6 1 "6" 1 4 0 20 3 0
"103" "11" 6 1 "6" 1 4 0 23 0 0
"104" "12" 6 1 "6" 1 4 0 21 2 0
"105" "13" 6 1 "6" 1 4 0 20 3 0
"106" "14" 6 1 "6" 1 4 0 18 5 0
"107" "15" 6 1 "6" 1 4 0 23 0 0
"108" "16" 6 1 "6" 1 4 0 20 3 0
"109" "17" 6 1 "6" 1 4 0 18 5 0
"110" "18" 6 1 "6" 1 4 0 21 2 0
"111" "19" 6 1 "6" 1 4 0 18 5 0
"112" "2" 6 1 "6" 1 4 0 21 2 0
"113" "20" 6 1 "6" 1 4 0 22 1 0
"114" "21" 6 1 "6" 1 4 0 21 2 0
"115" "3" 6 1 "6" 1 4 0 22 1 0
"116" "5" 6 1 "6" 1 4 0 22 1 0
"117" "6" 6 1 "6" 1 4 0 18 5 0
"118" "7" 6 1 "6" 1 4 0 20 3 0
"119" "8" 6 1 "6" 1 4 0 14 9 0
"120" "9" 6 1 "6" 1 4 0 20 3 0
"121" "1" 8 3 "8" 1 4 0 21 2 0
"122" "10" 8 3 "8" 1 4 0 21 2 0
