"participant_id","trial_number","condition","fix_duration","key_press","correct_key","correct","rt","correct_response","response"
"KRAA14",0,"easy",467,"control","control",TRUE,908,"red","red"
"KRAA14",1,"easy",530,"control","control",TRUE,569,"red","red"
"KRAA14",2,"easy",539,"control","control",TRUE,958,"red","red"
"KRAA14",3,"hard",550,"control","control",TRUE,475,"red","red"
"KRAA14",4,"easy",512,"control","control",TRUE,591,"red","red"
"KRAA14",5,"easy",584,"alt","alt",TRUE,679,"blue","blue"
"KRAA14",6,"easy",508,"alt","alt",TRUE,709,"blue","blue"
"KRAA14",7,"hard",495,"control","alt",FALSE,864,"blue","red"
"KRAA14",8,"easy",449,"alt","alt",TRUE,1271,"blue","blue"
"KRAA14",9,"easy",527,"alt","alt",TRUE,612,"blue","blue"
"KRAA14",10,"hard",534,"control","control",TRUE,1143,"red","red"
"KRAA14",11,"hard",476,"alt","alt",TRUE,829,"blue","blue"
"KRAA14",12,"easy",546,"alt","alt",TRUE,670,"blue","blue"
"KRAA14",13,"easy",576,"alt","alt",TRUE,604,"blue","blue"
"KRAA14",14,"easy",415,"alt","alt",TRUE,1025,"blue","blue"
"KRAA14",15,"easy",429,"control","control",TRUE,754,"red","red"
"KRAA14",16,"easy",439,"control","control",TRUE,1121,"red","red"
"KRAA14",17,"easy",525,"control","control",TRUE,516,"red","red"
"KRAA14",18,"hard",553,"control","alt",FALSE,738,"blue","red"
"KRAA14",19,"easy",562,"control","control",TRUE,628,"red","red"
"KRAA14",20,"easy",573,"alt","alt",TRUE,648,"blue","blue"
"KRAA14",21,"hard",476,"control","control",TRUE,656,"red","red"
"KRAA14",22,"hard",479,"control","control",TRUE,863,"red","red"
"KRAA14",23,"hard",530,"control","alt",FALSE,1184,"blue","red"
"KRAA14",24,"easy",499,"alt","alt",TRUE,835,"blue","blue"
"KRAA14",25,"easy",417,"alt","alt",TRUE,642,"blue","blue"
"KRAA14",26,"hard",511,"control","alt",FALSE,836,"blue","red"
"KRAA14",27,"hard",538,"alt","control",FALSE,1122,"red","blue"
"KRAA14",28,"easy",440,"control","control",TRUE,1815,"red","red"
"KRAA14",29,"easy",577,"alt","alt",TRUE,625,"blue","blue"
"KRAA14",30,"hard",514,"control","control",TRUE,816,"red","red"
"KRAA14",31,"easy",446,"alt","alt",TRUE,622,"blue","blue"
"KRAA14",32,"easy",415,"control","control",TRUE,753,"red","red"
"KRAA14",33,"hard",459,"control","alt",FALSE,1294,"blue","red"
"KRAA14",34,"easy",475,"control","control",TRUE,677,"red","red"
"KRAA14",35,"hard",588,"control","control",TRUE,678,"red","red"
"KRAA14",36,"hard",596,"alt","alt",TRUE,1108,"blue","blue"
"KRAA14",37,"easy",503,"control","control",TRUE,992,"red","red"
"KRAA14",38,"hard",486,"alt","alt",TRUE,703,"blue","blue"
"KRAA14",39,"hard",428,"alt","alt",TRUE,943,"blue","blue"
"KRAA14",40,"hard",554,"control","control",TRUE,737,"red","red"
"KRAA14",41,"easy",475,"control","control",TRUE,569,"red","red"
"KRAA14",42,"hard",410,"alt","alt",TRUE,589,"blue","blue"
"KRAA14",43,"easy",477,"alt","alt",TRUE,1337,"blue","blue"
"KRAA14",44,"easy",551,"control","control",TRUE,674,"red","red"
"KRAA14",45,"easy",444,"alt","alt",TRUE,1013,"blue","blue"
"KRAA14",46,"hard",498,"control","control",TRUE,1245,"red","red"
"KRAA14",47,"easy",512,"control","control",TRUE,909,"red","red"
"KRAA14",48,"hard",492,"alt","alt",TRUE,651,"blue","blue"
"KRAA14",49,"easy",549,"control","control",TRUE,635,"red","red"
"KRAA14",50,"easy",457,"alt","alt",TRUE,816,"blue","blue"
