"id" "isAdaptive" "was_same_trial" "sum_saysame" "sum_correct" "n_trials" "prop_correct"
"1" "0rjs8zk3f8a1c51" "no" 0 37 188 225 0.835555555555556
"2" "0rjs8zk3f8a1c51" "no" 1 112 112 225 0.497777777777778
"3" "1ntjctjk7c30h8e" "yes" 1 136 136 225 0.604444444444444
"4" "1ntjctjk7c30h8e" "yes" 0 73 152 225 0.675555555555556
"5" "1o34yg68q5f0082" "no" 0 9 216 225 0.96
"6" "1o34yg68q5f0082" "no" 1 99 99 225 0.44
"7" "1p2orrruwowkyfk" "yes" 0 22 203 225 0.902222222222222
"8" "1p2orrruwowkyfk" "yes" 1 184 184 225 0.817777777777778
"9" "1sj18cefeen6xdq" "no" 1 96 96 225 0.426666666666667
"10" "1sj18cefeen6xdq" "no" 0 39 186 225 0.826666666666667
"11" "1t9ccets6d4jmh1" "no" 0 51 174 225 0.773333333333333
"12" "1t9ccets6d4jmh1" "no" 1 146 146 225 0.648888888888889
"13" "21weeb0hv6zeujm" "no" 1 125 125 225 0.555555555555556
"14" "21weeb0hv6zeujm" "no" 0 10 215 225 0.955555555555556
"15" "23t9f3rusdx1z99" "no" 1 169 169 225 0.751111111111111
"16" "23t9f3rusdx1z99" "no" 0 62 163 225 0.724444444444444
"17" "26sx4b6ee6qtbfj" "yes" 1 151 151 225 0.671111111111111
"18" "26sx4b6ee6qtbfj" "yes" 0 122 103 225 0.457777777777778
"19" "2y7ushulzewzv24" "no" 0 3 222 225 0.986666666666667
"20" "2y7ushulzewzv24" "no" 1 39 39 225 0.173333333333333
"21" "3bcz3k1qlzhzjdl" "no" 0 32 192 225 0.853333333333333
"22" "3bcz3k1qlzhzjdl" "no" 1 74 74 225 0.328888888888889
"23" "3nwqd7fq0a2eg9y" "no" 1 116 116 225 0.515555555555556
"24" "3nwqd7fq0a2eg9y" "no" 0 37 188 225 0.835555555555556
"25" "3xuwa5sawxt088f" "yes" 1 193 193 225 0.857777777777778
"26" "3xuwa5sawxt088f" "yes" 0 37 188 225 0.835555555555556
"27" "41a66w99foo7th8" "yes" 1 167 167 225 0.742222222222222
"28" "41a66w99foo7th8" "yes" 0 56 169 225 0.751111111111111
"29" "47x15mmzl4ubu2r" "no" 1 123 123 225 0.546666666666667
"30" "47x15mmzl4ubu2r" "no" 0 23 202 225 0.897777777777778
"31" "4ava7eonw7c3sxe" "no" 0 59 166 225 0.737777777777778
"32" "4ava7eonw7c3sxe" "no" 1 164 164 225 0.728888888888889
"33" "4fme5xqdb4yp4tj" "yes" 0 111 114 225 0.506666666666667
"34" "4fme5xqdb4yp4tj" "yes" 1 200 200 225 0.888888888888889
"35" "4qxqadc5ohcffy8" "yes" 0 71 154 225 0.684444444444444
"36" "4qxqadc5ohcffy8" "yes" 1 151 151 225 0.671111111111111
"37" "5tah78prgcqqvgh" "yes" 0 90 135 225 0.6
"38" "5tah78prgcqqvgh" "yes" 1 190 190 225 0.844444444444444
"39" "5x16orfkpn5jcso" "no" 1 114 114 225 0.506666666666667
"40" "5x16orfkpn5jcso" "no" 0 26 199 225 0.884444444444444
"41" "69peuufxjg8xj2s" "no" 0 21 204 225 0.906666666666667
"42" "69peuufxjg8xj2s" "no" 1 110 110 225 0.488888888888889
"43" "7ahoqy9459855lg" "yes" 1 192 192 225 0.853333333333333
"44" "7ahoqy9459855lg" "yes" 0 108 117 225 0.52
"45" "7do8nlbemo37n1b" "no" 0 45 180 225 0.8
"46" "7do8nlbemo37n1b" "no" 1 112 112 225 0.497777777777778
"47" "7ftdjd8m4m2zvgy" "yes" 1 176 177 225 0.786666666666667
"48" "7ftdjd8m4m2zvgy" "yes" 0 75 150 225 0.666666666666667
"49" "7r1pebvf25e6dd9" "yes" 1 169 169 225 0.751111111111111
"50" "7r1pebvf25e6dd9" "yes" 0 102 123 225 0.546666666666667
"51" "7yow4a49wwppbll" "yes" 0 126 99 225 0.44
"52" "7yow4a49wwppbll" "yes" 1 194 194 225 0.862222222222222
"53" "8033zjyzav54sww" "no" 1 115 115 225 0.511111111111111
"54" "8033zjyzav54sww" "no" 0 18 207 225 0.92
"55" "8phdpox7ufgaxdn" "no" 0 61 164 225 0.728888888888889
"56" "8phdpox7ufgaxdn" "no" 1 98 98 225 0.435555555555556
"57" "8r81pp6992f8z50" "yes" 1 145 145 225 0.644444444444444
"58" "8r81pp6992f8z50" "yes" 0 106 119 225 0.528888888888889
"59" "8ypkl15c92mhv3p" "yes" 0 33 192 225 0.853333333333333
"60" "8ypkl15c92mhv3p" "yes" 1 179 179 225 0.795555555555556
"61" "9mp0k5snp12h0nn" "yes" 0 60 165 225 0.733333333333333
"62" "9mp0k5snp12h0nn" "yes" 1 203 203 225 0.902222222222222
"63" "a34smzegq9x24bs" "yes" 0 79 146 225 0.648888888888889
"64" "a34smzegq9x24bs" "yes" 1 182 182 224 0.8125
"65" "a3bxwrasyaa9j9r" "yes" 0 72 153 225 0.68
"66" "a3bxwrasyaa9j9r" "yes" 1 184 184 225 0.817777777777778
"67" "awyc6dvpuqrqgwy" "yes" 0 63 162 225 0.72
"68" "awyc6dvpuqrqgwy" "yes" 1 177 177 225 0.786666666666667
"69" "b0eqkddredhvldl" "no" 1 136 136 225 0.604444444444444
"70" "b0eqkddredhvldl" "no" 0 98 127 225 0.564444444444444
"71" "bltg0rzgdfthgtu" "yes" 1 184 184 225 0.817777777777778
"72" "bltg0rzgdfthgtu" "yes" 0 58 167 225 0.742222222222222
"73" "bn883prnzzt218u" "yes" 0 52 173 225 0.768888888888889
"74" "bn883prnzzt218u" "yes" 1 188 188 225 0.835555555555556
"75" "c2cy6lxf3ymd09u" "yes" 0 87 138 225 0.613333333333333
"76" "c2cy6lxf3ymd09u" "yes" 1 114 114 225 0.506666666666667
"77" "cgr1t9v0mqgqwgm" "no" 1 128 128 225 0.568888888888889
"78" "cgr1t9v0mqgqwgm" "no" 0 72 153 225 0.68
"79" "d6k7huejw8ec9o5" "no" 0 18 207 225 0.92
"80" "d6k7huejw8ec9o5" "no" 1 85 85 225 0.377777777777778
"81" "dd287bs645fn2ys" "yes" 1 134 134 225 0.595555555555556
"82" "dd287bs645fn2ys" "yes" 0 102 123 225 0.546666666666667
"83" "dptoo4ha6hpvtjx" "no" 0 43 182 225 0.808888888888889
"84" "dptoo4ha6hpvtjx" "no" 1 107 107 225 0.475555555555556
"85" "e5zt0hm2s0p84fk" "yes" 0 59 166 225 0.737777777777778
"86" "e5zt0hm2s0p84fk" "yes" 1 177 177 225 0.786666666666667
"87" "emh6dmt8b2tn72e" "no" 0 53 172 225 0.764444444444444
"88" "emh6dmt8b2tn72e" "no" 1 176 176 225 0.782222222222222
"89" "es25vzakyfyxul9" "no" 0 73 151 224 0.674107142857143
"90" "es25vzakyfyxul9" "no" 1 124 124 225 0.551111111111111
"91" "ezoboudso8ta2u6" "yes" 1 177 177 225 0.786666666666667
"92" "ezoboudso8ta2u6" "yes" 0 80 145 225 0.644444444444444
"93" "fjv0p9xmf10wost" "no" 0 18 207 225 0.92
"94" "fjv0p9xmf10wost" "no" 1 65 65 225 0.288888888888889
"95" "fkkzyt8oqfj01eo" "no" 1 116 116 225 0.515555555555556
"96" "fkkzyt8oqfj01eo" "no" 0 39 186 225 0.826666666666667
"97" "g32lp3vjptqx0fa" "no" 0 12 213 225 0.946666666666667
"98" "g32lp3vjptqx0fa" "no" 1 175 175 225 0.777777777777778
"99" "gcu08by4s8fjchz" "no" 1 89 89 225 0.395555555555556
"100" "gcu08by4s8fjchz" "no" 0 31 194 225 0.862222222222222
"101" "ggymjnex9gu75a3" "yes" 1 134 134 225 0.595555555555556
"102" "ggymjnex9gu75a3" "yes" 0 61 164 225 0.728888888888889
"103" "greupzw86kaferq" "yes" 0 88 137 225 0.608888888888889
"104" "greupzw86kaferq" "yes" 1 139 139 225 0.617777777777778
"105" "gyds7536l7cawp9" "no" 0 3 222 225 0.986666666666667
"106" "gyds7536l7cawp9" "no" 1 64 64 225 0.284444444444444
"107" "hqa0fetcx3rtldp" "no" 0 28 192 225 0.853333333333333
"108" "hqa0fetcx3rtldp" "no" 1 97 101 225 0.448888888888889
"109" "hqbt6pzhggv9cx3" "yes" 1 159 159 225 0.706666666666667
"110" "hqbt6pzhggv9cx3" "yes" 0 42 183 225 0.813333333333333
"111" "hr7nk02s3n63a7y" "yes" 0 46 179 225 0.795555555555556
"112" "hr7nk02s3n63a7y" "yes" 1 144 144 225 0.64
"113" "hrm4lf3lldbu1m7" "no" 1 110 110 225 0.488888888888889
"114" "hrm4lf3lldbu1m7" "no" 0 19 206 225 0.915555555555556
"115" "j774oylfrm0stus" "no" 1 124 124 225 0.551111111111111
"116" "j774oylfrm0stus" "no" 0 17 208 225 0.924444444444444
"117" "ju85tyecrlyhw9v" "no" 1 97 97 225 0.431111111111111
"118" "ju85tyecrlyhw9v" "no" 0 21 204 225 0.906666666666667
"119" "ka5bdnrbgver14p" "yes" 1 146 146 225 0.648888888888889
"120" "ka5bdnrbgver14p" "yes" 0 87 138 225 0.613333333333333
"121" "l4ag8ynavse9y8u" "yes" 1 197 197 225 0.875555555555556
"122" "l4ag8ynavse9y8u" "yes" 0 135 89 224 0.397321428571429
"123" "lcgrvyp5yr08rsw" "no" 0 13 212 225 0.942222222222222
"124" "lcgrvyp5yr08rsw" "no" 1 81 81 225 0.36
"125" "lf6751lbvey1nby" "yes" 0 76 149 225 0.662222222222222
"126" "lf6751lbvey1nby" "yes" 1 164 164 225 0.728888888888889
"127" "lohjh3w82jk6svj" "no" 1 52 52 225 0.231111111111111
"128" "lohjh3w82jk6svj" "no" 0 20 205 225 0.911111111111111
"129" "m1pylkqs4j6mpws" "yes" 1 165 165 225 0.733333333333333
"130" "m1pylkqs4j6mpws" "yes" 0 49 176 225 0.782222222222222
"131" "m9wllmtmtjbqm31" "yes" 1 169 169 225 0.751111111111111
"132" "m9wllmtmtjbqm31" "yes" 0 90 135 225 0.6
"133" "mgjbtxqob5tbocw" "no" 0 18 207 225 0.92
"134" "mgjbtxqob5tbocw" "no" 1 140 140 225 0.622222222222222
"135" "ml5m61h8zexsqoo" "yes" 1 143 143 225 0.635555555555556
"136" "ml5m61h8zexsqoo" "yes" 0 69 156 225 0.693333333333333
"137" "mnaq55absk1pebb" "yes" 1 161 161 225 0.715555555555556
"138" "mnaq55absk1pebb" "yes" 0 81 144 225 0.64
"139" "mvrquo6jk7q3ppg" "no" 1 134 134 225 0.595555555555556
"140" "mvrquo6jk7q3ppg" "no" 0 31 194 225 0.862222222222222
"141" "mz3upa2bwmlpbnq" "yes" 1 178 178 225 0.791111111111111
"142" "mz3upa2bwmlpbnq" "yes" 0 46 179 225 0.795555555555556
"143" "nf2r3udm69461ys" "yes" 1 137 137 225 0.608888888888889
"144" "nf2r3udm69461ys" "yes" 0 48 177 225 0.786666666666667
"145" "ngk8na7ugyz4pdf" "no" 0 18 207 225 0.92
"146" "ngk8na7ugyz4pdf" "no" 1 47 47 225 0.208888888888889
"147" "o8a5ns4le9clztn" "no" 1 114 114 225 0.506666666666667
"148" "o8a5ns4le9clztn" "no" 0 83 142 225 0.631111111111111
"149" "oblr98lh290b254" "no" 1 123 123 225 0.546666666666667
"150" "oblr98lh290b254" "no" 0 32 193 225 0.857777777777778
"151" "obqo9d31nszsld0" "yes" 1 185 185 225 0.822222222222222
"152" "obqo9d31nszsld0" "yes" 0 46 179 225 0.795555555555556
"153" "obvmrvzt1rh12c1" "yes" 0 26 199 225 0.884444444444444
"154" "obvmrvzt1rh12c1" "yes" 1 177 177 225 0.786666666666667
"155" "ofc7gdetsgtsn80" "yes" 1 171 171 225 0.76
"156" "ofc7gdetsgtsn80" "yes" 0 71 154 225 0.684444444444444
"157" "oj2mhv49z7zyrso" "yes" 1 131 131 225 0.582222222222222
"158" "oj2mhv49z7zyrso" "yes" 0 77 148 225 0.657777777777778
"159" "olzp8j7uzhwlphf" "no" 0 72 153 225 0.68
"160" "olzp8j7uzhwlphf" "no" 1 105 105 225 0.466666666666667
"161" "p8fto39mt6ejax2" "yes" 0 54 171 225 0.76
"162" "p8fto39mt6ejax2" "yes" 1 155 155 225 0.688888888888889
"163" "p8yd0obtba8swl0" "yes" 0 36 189 225 0.84
"164" "p8yd0obtba8swl0" "yes" 1 187 187 225 0.831111111111111
"165" "pc5g2scuesml5cb" "no" 1 144 144 225 0.64
"166" "pc5g2scuesml5cb" "no" 0 34 191 225 0.848888888888889
"167" "pgmb90rolfo5w1o" "no" 1 115 115 225 0.511111111111111
"168" "pgmb90rolfo5w1o" "no" 0 20 205 225 0.911111111111111
"169" "pv4118xs5lbqydz" "yes" 1 146 146 225 0.648888888888889
"170" "pv4118xs5lbqydz" "yes" 0 95 130 225 0.577777777777778
"171" "pvlu1ak8juzev1a" "yes" 1 168 168 225 0.746666666666667
"172" "pvlu1ak8juzev1a" "yes" 0 96 129 225 0.573333333333333
"173" "q2x0v1a8me5oadq" "no" 1 120 120 225 0.533333333333333
"174" "q2x0v1a8me5oadq" "no" 0 53 172 225 0.764444444444444
"175" "qfs5jrgausbedsh" "yes" 1 128 128 225 0.568888888888889
"176" "qfs5jrgausbedsh" "yes" 0 50 175 225 0.777777777777778
"177" "qt948gzo1x5v0u9" "no" 0 79 146 225 0.648888888888889
"178" "qt948gzo1x5v0u9" "no" 1 103 103 224 0.459821428571429
"179" "r0a4vecvk4re453" "no" 0 28 196 225 0.871111111111111
"180" "r0a4vecvk4re453" "no" 1 174 175 225 0.777777777777778
"181" "r1r4pan5szqx6zn" "yes" 0 101 124 225 0.551111111111111
"182" "r1r4pan5szqx6zn" "yes" 1 146 146 225 0.648888888888889
"183" "rz84bmpkkkhm4sf" "no" 0 11 214 225 0.951111111111111
"184" "rz84bmpkkkhm4sf" "no" 1 67 67 225 0.297777777777778
"185" "sahqc1k7cmp86md" "yes" 1 163 163 225 0.724444444444444
"186" "sahqc1k7cmp86md" "yes" 0 76 149 225 0.662222222222222
"187" "sdw9qon9aq4re7m" "yes" 1 160 160 225 0.711111111111111
"188" "sdw9qon9aq4re7m" "yes" 0 105 120 225 0.533333333333333
"189" "sn4gwaqmtgjupf1" "yes" 0 18 207 225 0.92
"190" "sn4gwaqmtgjupf1" "yes" 1 202 202 225 0.897777777777778
"191" "t8jsvv9szc1ltal" "yes" 1 155 155 225 0.688888888888889
"192" "t8jsvv9szc1ltal" "yes" 0 108 116 224 0.517857142857143
"193" "tv8ebdbqqb4dbqk" "no" 1 105 105 225 0.466666666666667
"194" "tv8ebdbqqb4dbqk" "no" 0 34 191 225 0.848888888888889
"195" "u5qapelduu90739" "no" 1 95 95 225 0.422222222222222
"196" "u5qapelduu90739" "no" 0 47 178 225 0.791111111111111
"197" "uulk8e9k4oyoe89" "yes" 0 72 153 225 0.68
"198" "uulk8e9k4oyoe89" "yes" 1 145 145 225 0.644444444444444
"199" "wbccpq3rpgetnj8" "no" 0 27 198 225 0.88
"200" "wbccpq3rpgetnj8" "no" 1 114 114 225 0.506666666666667
"201" "wetdooo48256elz" "no" 1 100 100 225 0.444444444444444
"202" "wetdooo48256elz" "no" 0 11 214 225 0.951111111111111
"203" "whg2q46gs1quwoz" "yes" 1 185 185 225 0.822222222222222
"204" "whg2q46gs1quwoz" "yes" 0 64 161 225 0.715555555555556
"205" "wlbw3sesax8pmhr" "no" 0 23 202 225 0.897777777777778
"206" "wlbw3sesax8pmhr" "no" 1 130 130 225 0.577777777777778
"207" "wmz107pwllzjcdv" "yes" 0 46 179 225 0.795555555555556
"208" "wmz107pwllzjcdv" "yes" 1 171 171 225 0.76
"209" "wplz2tkug2k4vrd" "no" 0 47 178 225 0.791111111111111
"210" "wplz2tkug2k4vrd" "no" 1 106 106 225 0.471111111111111
"211" "wqpd9481t7ao9ut" "no" 0 45 180 225 0.8
"212" "wqpd9481t7ao9ut" "no" 1 107 107 225 0.475555555555556
"213" "ws7p1kyz7o4o9rc" "no" 1 132 132 225 0.586666666666667
"214" "ws7p1kyz7o4o9rc" "no" 0 103 122 225 0.542222222222222
"215" "xycdbwz5msz7kxe" "no" 1 99 99 225 0.44
"216" "xycdbwz5msz7kxe" "no" 0 22 203 225 0.902222222222222
"217" "y5rw3rpanuhafyh" "no" 1 78 78 225 0.346666666666667
"218" "y5rw3rpanuhafyh" "no" 0 29 196 225 0.871111111111111
"219" "y8cnk5lr5d62p6d" "no" 1 143 143 225 0.635555555555556
"220" "y8cnk5lr5d62p6d" "no" 0 19 206 225 0.915555555555556
"221" "yczw0gyub723q4k" "no" 1 73 73 225 0.324444444444444
"222" "yczw0gyub723q4k" "no" 0 16 209 225 0.928888888888889
"223" "yyv6wnf4o36j28r" "yes" 1 179 179 225 0.795555555555556
"224" "yyv6wnf4o36j28r" "yes" 0 71 154 225 0.684444444444444
