"id" "setsize" "setsize_lin" "n_IIP" "n_IOP" "n_NPL" "IIP" "IOP" "NPL" "total"
"1" 1 "2" -3 1 2 0 23 0 0 23
"2" 10 "2" -3 1 2 0 23 0 0 23
"3" 11 "2" -3 1 2 0 23 0 0 23
"4" 12 "2" -3 1 2 0 22 1 0 23
"5" 13 "2" -3 1 2 0 23 0 0 23
"6" 14 "2" -3 1 2 0 23 0 0 23
"7" 15 "2" -3 1 2 0 23 0 0 23
"8" 16 "2" -3 1 2 0 23 0 0 23
"9" 17 "2" -3 1 2 0 22 1 0 23
"10" 18 "2" -3 1 2 0 23 0 0 23
"11" 19 "2" -3 1 2 0 23 0 0 23
"12" 2 "2" -3 1 2 0 23 0 0 23
"13" 20 "2" -3 1 2 0 22 1 0 23
"14" 3 "2" -3 1 2 0 23 0 0 23
"15" 4 "2" -3 1 2 0 23 0 0 23
"16" 5 "2" -3 1 2 0 23 0 0 23
"17" 6 "2" -3 1 2 0 23 0 0 23
"18" 7 "2" -3 1 2 0 23 0 0 23
"19" 8 "2" -3 1 2 0 23 0 0 23
"20" 9 "2" -3 1 2 0 23 0 0 23
"21" 1 "4" -1 1 2 0 23 0 0 23
"22" 10 "4" -1 1 2 0 23 0 0 23
"23" 11 "4" -1 1 2 0 23 0 0 23
"24" 12 "4" -1 1 2 0 21 2 0 23
"25" 13 "4" -1 1 2 0 23 0 0 23
"26" 14 "4" -1 1 2 0 22 1 0 23
"27" 15 "4" -1 1 2 0 23 0 0 23
"28" 16 "4" -1 1 2 0 20 3 0 23
"29" 17 "4" -1 1 2 0 23 0 0 23
"30" 18 "4" -1 1 2 0 23 0 0 23
"31" 19 "4" -1 1 2 0 23 0 0 23
"32" 2 "4" -1 1 2 0 23 0 0 23
"33" 20 "4" -1 1 2 0 23 0 0 23
"34" 3 "4" -1 1 2 0 23 0 0 23
"35" 4 "4" -1 1 2 0 23 0 0 23
"36" 5 "4" -1 1 2 0 23 0 0 23
"37" 6 "4" -1 1 2 0 22 1 0 23
"38" 7 "4" -1 1 2 0 21 2 0 23
"39" 8 "4" -1 1 2 0 23 0 0 23
"40" 9 "4" -1 1 2 0 23 0 0 23
"41" 1 "6" 1 1 2 0 22 1 0 23
"42" 10 "6" 1 1 2 0 21 2 0 23
"43" 11 "6" 1 1 2 0 23 0 0 23
"44" 12 "6" 1 1 2 0 23 0 0 23
"45" 13 "6" 1 1 2 0 21 2 0 23
"46" 14 "6" 1 1 2 0 22 1 0 23
"47" 15 "6" 1 1 2 0 21 2 0 23
"48" 16 "6" 1 1 2 0 16 7 0 23
"49" 17 "6" 1 1 2 0 21 2 0 23
"50" 18 "6" 1 1 2 0 21 2 0 23
"51" 19 "6" 1 1 2 0 21 2 0 23
