"participant" "block" "trial" "screenID" "setsize" "nTarget" "nDistractor" "layout" "colorCon" "radius" "cueType" "cueColor" "condition" "ratio" "correct" "acc" "RT" "response"
"1" 1 0 0 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1748 "arrowup"
"2" 1 0 1 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1316 "arrowup"
"3" 1 0 2 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 699 "arrowup"
"4" 1 0 3 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1456 "arrowup"
"5" 1 0 4 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1510 "arrowdown"
"6" 1 0 5 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1714 "arrowdown"
"7" 1 0 6 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1052 "arrowdown"
"8" 1 0 7 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1306 "arrowup"
"9" 1 0 8 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1073 "arrowup"
"10" 1 0 9 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 994 "arrowdown"
"11" 1 0 10 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1360 "arrowdown"
"12" 1 0 11 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1747 "arrowup"
"13" 1 0 12 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1527 "arrowdown"
"14" 1 0 13 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 953 "arrowup"
"15" 1 0 14 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 760 "arrowdown"
"16" 1 0 15 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1571 "arrowdown"
"17" 1 0 16 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 995 "arrowdown"
"18" 1 0 17 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 729 "arrowdown"
"19" 1 0 18 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 937 "arrowup"
"20" 1 0 19 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1192 "arrowdown"
"21" 1 0 20 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1843 "arrowdown"
"22" 1 0 21 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1522 "arrowup"
"23" 1 0 22 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1850 "arrowdown"
"24" 1 0 23 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1075 "arrowup"
"25" 1 0 24 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 2319 "arrowup"
"26" 1 0 25 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1464 "arrowdown"
"27" 1 0 26 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1450 "arrowdown"
"28" 1 0 27 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1463 "arrowdown"
"29" 1 0 28 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1374 "arrowdown"
"30" 1 0 29 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 844 "arrowdown"
"31" 1 0 30 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1115 "arrowup"
"32" 1 0 31 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 2199 "arrowdown"
"33" 1 0 32 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1775 "arrowup"
"34" 1 0 33 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1355 "arrowdown"
"35" 1 0 34 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 623 "arrowup"
"36" 1 0 35 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1248 "arrowdown"
"37" 1 0 36 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1536 "arrowdown"
"38" 1 0 37 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 729 "arrowdown"
"39" 1 0 38 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 780 "arrowdown"
"40" 1 0 39 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 905 "arrowup"
"41" 1 0 40 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1006 "arrowup"
"42" 1 0 41 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1902 "arrowup"
"43" 1 0 42 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1565 "arrowup"
"44" 1 0 43 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 922 "arrowdown"
"45" 1 0 44 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1015 "arrowdown"
"46" 1 0 45 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1010 "arrowup"
"47" 1 0 46 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1368 "arrowdown"
"48" 1 0 47 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 2150 "arrowup"
"49" 1 0 48 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1199 "arrowdown"
"50" 1 0 49 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 2111 "arrowup"
"51" 1 0 50 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1344 "arrowup"
"52" 1 0 51 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1675 "arrowup"
"53" 1 0 52 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 802 "arrowdown"
"54" 1 0 53 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 738 "arrowdown"
"55" 1 0 54 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 936 "arrowup"
"56" 1 0 55 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1260 "arrowup"
"57" 1 0 56 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowdown" 1 1063 "arrowdown"
"58" 1 0 57 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1712 "arrowup"
"59" 1 0 58 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1137 "arrowup"
"60" 1 0 59 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "positive" "even" "arrowup" 1 1926 "arrowup"
"61" 1 1 0 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1016 "arrowup"
"62" 1 1 1 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 2071 "arrowup"
"63" 1 1 2 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1580 "arrowdown"
"64" 1 1 3 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1270 "arrowup"
"65" 1 1 4 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1763 "arrowdown"
"66" 1 1 5 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 695 "arrowup"
"67" 1 1 6 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1177 "arrowdown"
"68" 1 1 7 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 937 "arrowup"
"69" 1 1 8 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 785 "arrowup"
"70" 1 1 9 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1080 "arrowup"
"71" 1 1 10 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 914 "arrowdown"
"72" 1 1 11 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 949 "arrowdown"
"73" 1 1 12 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 2357 "arrowup"
"74" 1 1 13 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 826 "arrowup"
"75" 1 1 14 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1432 "arrowdown"
"76" 1 1 15 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1482 "arrowdown"
"77" 1 1 16 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1130 "arrowup"
"78" 1 1 17 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1214 "arrowup"
